,RMSE,MAE,NDCG@10,Hit_Rate@10,Precision@10,Recall@10,F1@10
Global_Average,1.1186131202259448,0.946816719421993,,,,,
Popularity,,,0.2537084018336715,0.7636986301369864,0.22945205479452055,0.08669002139965357,0.10147897855862457
Content_Based,,,0.035666782849254536,0.20202020202020202,0.03434343434343434,0.019827991701943982,0.01616481709114114
SVD,1.0281187496674697,0.8195710983000533,,,,,
User_KNN,1.1015079691677256,0.9253120171247297,,,,,
Item_KNN,1.1231443028653936,0.9437529443661288,,,,,
KNN_Means,1.1089929953149684,0.9308672226872415,,,,,
Matrix_Factorization,1.0385651194985503,0.8513501004979946,0.0,0.0,0.0,0.0,0.0
Two_Tower,1.024264835989359,0.8164236999607094,0.0,0.0,0.0,0.0,0.0
Neural_MF,1.0512023111206432,0.8334935695489314,0.0,0.0,0.0,0.0,0.0
